INFO:src.pipeline:2022-10-21_22-53-25 loading train dataset
INFO:src.pipeline:2022-10-21_22-53-27 train dataset loaded successfully
INFO:src.preprocess:2022-10-21_22-53-39 no duplicate rows found
INFO:src.preprocess:2022-10-21_22-53-42 9 column(s) have standard deviation value less than 0.02. Hence, dropping the columns: REGION_POPULATION_RELATIVE, FLAG_MOBIL, FLAG_DOCUMENT_2, FLAG_DOCUMENT_4, FLAG_DOCUMENT_7, FLAG_DOCUMENT_10, FLAG_DOCUMENT_12, FLAG_DOCUMENT_17, FLAG_DOCUMENT_21
INFO:src.preprocess:2022-10-21_22-53-42 successfully dropped columns with low standard deviation value
INFO:src.preprocess:2022-10-21_22-53-46 dropping 16 unnecessary columns: SK_ID_CURR, FLAG_EMP_PHONE, FLAG_WORK_PHONE, WEEKDAY_APPR_PROCESS_START, HOUR_APPR_PROCESS_START, REG_REGION_NOT_LIVE_REGION, REG_REGION_NOT_WORK_REGION, LIVE_REGION_NOT_WORK_REGION, REG_CITY_NOT_LIVE_CITY, REG_CITY_NOT_WORK_CITY, LIVE_CITY_NOT_WORK_CITY, DAYS_LAST_PHONE_CHANGE, OBS_30_CNT_SOCIAL_CIRCLE, DEF_30_CNT_SOCIAL_CIRCLE, OBS_60_CNT_SOCIAL_CIRCLE, DEF_60_CNT_SOCIAL_CIRCLE
INFO:src.preprocess:2022-10-21_22-54-59 successfully dropped unnecessary columns
INFO:src.preprocess:2022-10-21_22-55-30 handling outlier for column EXT_SOURCE_1
INFO:src.preprocess:2022-10-21_22-55-30 handling outlier for column EXT_SOURCE_2
INFO:src.preprocess:2022-10-21_22-55-30 handling outlier for column EXT_SOURCE_3
INFO:src.preprocess:2022-10-21_22-55-30 handling outlier for column APARTMENTS_AVG
INFO:src.preprocess:2022-10-21_22-55-30 handling outlier for column BASEMENTAREA_AVG
INFO:src.preprocess:2022-10-21_22-55-30 handling outlier for column YEARS_BEGINEXPLUATATION_AVG
INFO:src.preprocess:2022-10-21_22-55-30 handling outlier for column YEARS_BUILD_AVG
INFO:src.preprocess:2022-10-21_22-55-30 handling outlier for column COMMONAREA_AVG
INFO:src.preprocess:2022-10-21_22-55-30 handling outlier for column ELEVATORS_AVG
INFO:src.preprocess:2022-10-21_22-55-30 handling outlier for column ENTRANCES_AVG
INFO:src.preprocess:2022-10-21_22-55-30 handling outlier for column FLOORSMAX_AVG
INFO:src.preprocess:2022-10-21_22-55-30 handling outlier for column FLOORSMIN_AVG
INFO:src.preprocess:2022-10-21_22-55-30 handling outlier for column LANDAREA_AVG
INFO:src.preprocess:2022-10-21_22-55-30 handling outlier for column LIVINGAPARTMENTS_AVG
INFO:src.preprocess:2022-10-21_22-55-30 handling outlier for column LIVINGAREA_AVG
INFO:src.preprocess:2022-10-21_22-55-30 handling outlier for column NONLIVINGAPARTMENTS_AVG
INFO:src.preprocess:2022-10-21_22-55-30 handling outlier for column NONLIVINGAREA_AVG
INFO:src.preprocess:2022-10-21_22-55-30 handling outlier for column APARTMENTS_MODE
INFO:src.preprocess:2022-10-21_22-55-30 handling outlier for column BASEMENTAREA_MODE
INFO:src.preprocess:2022-10-21_22-55-30 handling outlier for column YEARS_BEGINEXPLUATATION_MODE
INFO:src.preprocess:2022-10-21_22-55-30 handling outlier for column YEARS_BUILD_MODE
INFO:src.preprocess:2022-10-21_22-55-30 handling outlier for column COMMONAREA_MODE
INFO:src.preprocess:2022-10-21_22-55-30 handling outlier for column ELEVATORS_MODE
INFO:src.preprocess:2022-10-21_22-55-30 handling outlier for column ENTRANCES_MODE
INFO:src.preprocess:2022-10-21_22-55-30 handling outlier for column FLOORSMAX_MODE
INFO:src.preprocess:2022-10-21_22-55-30 handling outlier for column FLOORSMIN_MODE
INFO:src.preprocess:2022-10-21_22-55-30 handling outlier for column LANDAREA_MODE
INFO:src.preprocess:2022-10-21_22-55-30 handling outlier for column LIVINGAPARTMENTS_MODE
INFO:src.preprocess:2022-10-21_22-55-30 handling outlier for column LIVINGAREA_MODE
INFO:src.preprocess:2022-10-21_22-55-30 handling outlier for column NONLIVINGAPARTMENTS_MODE
INFO:src.preprocess:2022-10-21_22-55-30 handling outlier for column NONLIVINGAREA_MODE
INFO:src.preprocess:2022-10-21_22-55-30 handling outlier for column APARTMENTS_MEDI
INFO:src.preprocess:2022-10-21_22-55-30 handling outlier for column BASEMENTAREA_MEDI
INFO:src.preprocess:2022-10-21_22-55-30 handling outlier for column YEARS_BEGINEXPLUATATION_MEDI
INFO:src.preprocess:2022-10-21_22-55-30 handling outlier for column YEARS_BUILD_MEDI
INFO:src.preprocess:2022-10-21_22-55-30 handling outlier for column COMMONAREA_MEDI
INFO:src.preprocess:2022-10-21_22-55-30 handling outlier for column ELEVATORS_MEDI
INFO:src.preprocess:2022-10-21_22-55-30 handling outlier for column ENTRANCES_MEDI
INFO:src.preprocess:2022-10-21_22-55-30 handling outlier for column FLOORSMAX_MEDI
INFO:src.preprocess:2022-10-21_22-55-30 handling outlier for column FLOORSMIN_MEDI
INFO:src.preprocess:2022-10-21_22-55-30 handling outlier for column LANDAREA_MEDI
INFO:src.preprocess:2022-10-21_22-55-30 handling outlier for column LIVINGAPARTMENTS_MEDI
INFO:src.preprocess:2022-10-21_22-55-30 handling outlier for column LIVINGAREA_MEDI
INFO:src.preprocess:2022-10-21_22-55-30 handling outlier for column NONLIVINGAPARTMENTS_MEDI
INFO:src.preprocess:2022-10-21_22-55-30 handling outlier for column NONLIVINGAREA_MEDI
INFO:src.preprocess:2022-10-21_22-55-30 handling outlier for column TOTALAREA_MODE
INFO:src.preprocess:2022-10-21_22-55-30 handling outlier for column FLAG_DOCUMENT_3
INFO:src.preprocess:2022-10-21_22-55-30 handling outlier for column FLAG_DOCUMENT_5
INFO:src.preprocess:2022-10-21_22-55-30 handling outlier for column FLAG_DOCUMENT_6
INFO:src.preprocess:2022-10-21_22-55-30 handling outlier for column FLAG_DOCUMENT_8
INFO:src.preprocess:2022-10-21_22-55-30 handling outlier for column FLAG_DOCUMENT_9
INFO:src.preprocess:2022-10-21_22-55-30 handling outlier for column FLAG_DOCUMENT_11
INFO:src.preprocess:2022-10-21_22-55-30 handling outlier for column FLAG_DOCUMENT_13
INFO:src.preprocess:2022-10-21_22-55-30 handling outlier for column FLAG_DOCUMENT_14
INFO:src.preprocess:2022-10-21_22-55-30 handling outlier for column FLAG_DOCUMENT_15
INFO:src.preprocess:2022-10-21_22-55-30 handling outlier for column FLAG_DOCUMENT_16
INFO:src.preprocess:2022-10-21_22-55-30 handling outlier for column FLAG_DOCUMENT_18
INFO:src.preprocess:2022-10-21_22-55-30 handling outlier for column FLAG_DOCUMENT_19
INFO:src.preprocess:2022-10-21_22-55-30 handling outlier for column FLAG_DOCUMENT_20
INFO:src.preprocess:2022-10-21_22-55-30 handling outlier for column AMT_REQ_CREDIT_BUREAU_HOUR
INFO:src.preprocess:2022-10-21_22-55-30 handling outlier for column AMT_REQ_CREDIT_BUREAU_DAY
INFO:src.preprocess:2022-10-21_22-55-30 handling outlier for column AMT_REQ_CREDIT_BUREAU_WEEK
INFO:src.preprocess:2022-10-21_22-55-30 handling outlier for column AMT_REQ_CREDIT_BUREAU_MON
INFO:src.preprocess:2022-10-21_22-55-30 handling outlier for column AMT_REQ_CREDIT_BUREAU_QRT
INFO:src.preprocess:2022-10-21_22-55-30 handling outlier for column AMT_REQ_CREDIT_BUREAU_YEAR
INFO:src.preprocess:2022-10-21_22-55-30 handling outlier for column TARGET
